Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"van Eck, N.J., Waltman, L.","14632651000;14632830700;","On the proper understanding of the limiting behavior of generalizations of the h- and g-indices",2009,"Journal of Informetrics","3","4",,"369","370",,,"10.1016/j.joi.2009.02.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68649121370&doi=10.1016%2fj.joi.2009.02.002&partnerID=40&md5=cc4c863d6fa640cc7106166152991628",Letter,"Final",,Scopus,2-s2.0-68649121370
"Waltman, L., van Eck, N.J.","14632830700;14632651000;","Some comments on Egghe's derivation of the impact factor distribution",2009,"Journal of Informetrics","3","4",,"363","366",,14,"10.1016/j.joi.2009.05.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68649110885&doi=10.1016%2fj.joi.2009.05.004&partnerID=40&md5=a98e59acdaba6e880044547cb6f16cce",Article,"Final",,Scopus,2-s2.0-68649110885
"Van Eck, N.J., Waltman, L.","14632651000;14632830700;","How to normalize cooccurrence data? An analysis of some well-known similarity measures",2009,"Journal of the American Society for Information Science and Technology","60","8",,"1635","1651",,168,"10.1002/asi.21075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650930659&doi=10.1002%2fasi.21075&partnerID=40&md5=bbf394fe0abcf211103dbc944aa3f473",Article,"Final",,Scopus,2-s2.0-67650930659
"Van Eck, N.J., Waltman, L.","14632651000;14632830700;","VOSviewer: A computer program for bibliometric mapping",2009,"12th International Conference on Scientometrics and Informetrics, ISSI 2009",,,,"886","897",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901992309&partnerID=40&md5=2b19eafa3759e96b197c3ec7535a731f",Conference Paper,"Final",,Scopus,2-s2.0-84901992309
"Waltman, L., Van Eck, N.J.","14632830700;14632651000;","A taxonomy of bibliometric performance indicators based on the property of consistency",2009,"12th International Conference on Scientometrics and Informetrics, ISSI 2009",,,,"1002","1003",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650523124&partnerID=40&md5=7f5e929aaf8ab94e1f65225fdb96089d",Conference Paper,"Final",,Scopus,2-s2.0-78650523124
"Waltman, L., van Eck, N.J.","14632830700;14632651000;","Robust evolutionary algorithm design for socio-economic simulation: Some comments",2009,"Computational Economics","33","1",,"103","105",,6,"10.1007/s10614-008-9148-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-57749186229&doi=10.1007%2fs10614-008-9148-0&partnerID=40&md5=cac326819c8a0990ea2ec6b2330c330a",Note,"Final",Open Access,Scopus,2-s2.0-57749186229
"van Eck, N.J., Waltman, L.","14632651000;14632830700;","Generalizing the h- and g-indices",2008,"Journal of Informetrics","2","4",,"263","271",,77,"10.1016/j.joi.2008.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55549138352&doi=10.1016%2fj.joi.2008.09.004&partnerID=40&md5=deee14be8a483f93aea4ba5b5a983963",Article,"Final",,Scopus,2-s2.0-55549138352
"Waltman, L., van Eck, N.J.","14632830700;14632651000;","Some comments on the journal weighted impact factor proposed by Habibzadeh and Yadollahie",2008,"Journal of Informetrics","2","4",,"369","372",,3,"10.1016/j.joi.2008.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55549099219&doi=10.1016%2fj.joi.2008.06.003&partnerID=40&md5=c81a76a5138f3c03a3041783e3997883",Article,"Final",,Scopus,2-s2.0-55549099219
"Waltman, L., Kaymak, U.","14632830700;7004385524;","Q-learning agents in a Cournot oligopoly model",2008,"Journal of Economic Dynamics and Control","32","10",,"3275","3293",,19,"10.1016/j.jedc.2008.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-50049118902&doi=10.1016%2fj.jedc.2008.01.003&partnerID=40&md5=6410a1ec9c7c9ae62d7c056bc4173ddb",Article,"Final",,Scopus,2-s2.0-50049118902
"Van Eck, N.J., Waltman, L.","14632651000;14632830700;","Appropriate similarity measures for author co-citation analysis",2008,"Journal of the American Society for Information Science and Technology","59","10",,"1653","1661",,33,"10.1002/asi.20872","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48849114713&doi=10.1002%2fasi.20872&partnerID=40&md5=e30bc9fbf689799fa0bdabc75118454a",Article,"Final",,Scopus,2-s2.0-48849114713
"Van Eck, N.J., Waltman, L.","14632651000;14632830700;","VOS: A new method for visualizing similarities between objects",2007,"Studies in Classification, Data Analysis, and Knowledge Organization",,,,"299","306",,85,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879589491&partnerID=40&md5=d72f13f16517002bce66cabf2aec3567",Conference Paper,"Final",,Scopus,2-s2.0-84879589491
"Van Eck, N.J., Waltman, L.","14632651000;14632830700;","Bibliometric mapping of the computational intelligence field",2007,"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems","15","5",,"625","645",,82,"10.1142/S0218488507004911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35348927006&doi=10.1142%2fS0218488507004911&partnerID=40&md5=6333bfa7f1c8117d7b4a66b353ea0025",Conference Paper,"Final",,Scopus,2-s2.0-35348927006
"Waltman, L., Kaymak, U.","14632830700;7004385524;","A theoretical analysis of cooperative behavior in multi-agent Q-learning",2007,"Proceedings of the 2007 IEEE Symposium on Approximate Dynamic Programming and Reinforcement Learning, ADPRL 2007",,, 4220818,"84","91",,6,"10.1109/ADPRL.2007.368173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548752494&doi=10.1109%2fADPRL.2007.368173&partnerID=40&md5=d2c5c01e7465feb568fce6c2d1c136ef",Conference Paper,"Final",,Scopus,2-s2.0-34548752494
"Wattman, L., Van Eck, N.J.","14632830700;14632651000;","Some comments on the question whether co-occurrence data should be normalized",2007,"Journal of the American Society for Information Science and Technology","58","11",,"1701","1703",,13,"10.1002/asi.20647","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548594052&doi=10.1002%2fasi.20647&partnerID=40&md5=182ee6773ac113bd9b43ba2e99fd51bc",Article,"Final",,Scopus,2-s2.0-34548594052
"Van Eck, N.J., Waltman, L., Van Den Berg, J., Kaymak, U.","14632651000;14632830700;7201551194;7004385524;","Visualizing the WCCI 2006 knowledge domain",2006,"IEEE International Conference on Fuzzy Systems",,, 1681931,"1671","1678",,6,"10.1109/FUZZY.2006.1681931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250699911&doi=10.1109%2fFUZZY.2006.1681931&partnerID=40&md5=7a75f01c314c29d0343bc0270a95927c",Conference Paper,"Final",,Scopus,2-s2.0-34250699911
"Van Eck, N.J., Waltman, L., Van Den Berg, J., Kaymak, U.","14632651000;14632830700;7201551194;7004385524;","Visualizing the computational intelligence field",2006,"IEEE Computational Intelligence Magazine","1","4",,"6","10",,42,"10.1109/CI-M.2006.248043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846326921&doi=10.1109%2fCI-M.2006.248043&partnerID=40&md5=7c8bc0e5b27bce1255cd472d5675766a",Review,"Final",,Scopus,2-s2.0-33846326921
"Van Eck, N.J., Waltman, L., Van Den Berg, J.","14632651000;14632830700;7201551194;","A novel algorithm for visualizing concept associations",2005,"Belgian/Netherlands Artificial Intelligence Conference",,,,"397","398",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873438796&partnerID=40&md5=4de4c54954f2916c28615cabefa88a33",Conference Paper,"Final",,Scopus,2-s2.0-84873438796
"Waltman, L., Kaymak, U., Van Den Berg, J.","14632830700;7004385524;7201551194;","Fuzzy histograms: A statistical analysis",2005,"Proceedings - 4th Conference of the European Society for Fuzzy Logic and Technology and 11th French Days on Fuzzy Logic and Applications, EUSFLAT-LFA 2005 Joint Conference",,,,"605","610",,12,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649973067&partnerID=40&md5=18d734162c97ee0e10eff6f45c89b289",Conference Paper,"Final",,Scopus,2-s2.0-67649973067
"Van Eck, N.J., Waltman, L., Van Berg, J.D.","14632651000;14632830700;6504301778;","A novel algorithm for visualizing concept associations",2005,"Proceedings - International Workshop on Database and Expert Systems Applications, DEXA","2006",, 1508306,"405","409",,17,"10.1109/DEXA.2005.23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749070617&doi=10.1109%2fDEXA.2005.23&partnerID=40&md5=ca33d49b4f59763d808255badb779e77",Conference Paper,"Final",,Scopus,2-s2.0-33749070617
"Waltman, L., Kaymak, U., Van Den Berg, J.","14632830700;7004385524;7201551194;","Maximum likelihood parameter estimation in probabilistic fuzzy classifiers",2005,"IEEE International Conference on Fuzzy Systems",,,,"1098","1103",,23,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-23944475886&partnerID=40&md5=aa17675473b4ce1e41e6cb47a5eb9ca8",Conference Paper,"Final",,Scopus,2-s2.0-23944475886
