Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"De Groot, C.J.M., Van Leeuwen, T., Mol, B.W.J., Waltman, L.","7101714447;35611695700;35885117500;14632830700;","A Longitudinal Analysis of Publications on Maternal Mortality",2015,"Paediatric and Perinatal Epidemiology","29","6",,"481","489",,4,"10.1111/ppe.12223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943366619&doi=10.1111%2fppe.12223&partnerID=40&md5=9123c680f2c4205492d2a3fb26952163",Article,"Final",,Scopus,2-s2.0-84943366619
"Waltman, L., van Eck, N.J.","14632830700;14632651000;","Field-normalized citation impact indicators and the choice of an appropriate counting method",2015,"Journal of Informetrics","9","4",,"872","894",,49,"10.1016/j.joi.2015.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941889500&doi=10.1016%2fj.joi.2015.08.001&partnerID=40&md5=0e09587c929414932ae7b4c7d30b31f8",Article,"Final",,Scopus,2-s2.0-84941889500
"Stegehuis, C., Litvak, N., Waltman, L.","56820251600;36805892500;14632830700;","Predicting the long-term citation impact of recent publications",2015,"Journal of Informetrics","9","3",,"642","657",,29,"10.1016/j.joi.2015.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940949567&doi=10.1016%2fj.joi.2015.06.005&partnerID=40&md5=d084830105fe461213574554d6b02ec6",Article,"Final",,Scopus,2-s2.0-84940949567
"Hicks, D., Wouters, P., Waltman, L., De Rijcke, S., Rafols, I.","7201513872;7007025330;14632830700;24469683900;55916038700;","Bibliometrics: The Leiden Manifesto for research metrics",2015,"Nature","520","7548",,"429","431",,463,"10.1038/520429a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928532180&doi=10.1038%2f520429a&partnerID=40&md5=5b5d7f421308c84788475a360b5f90f9",Note,"Final",Open Access,Scopus,2-s2.0-84928532180
"Waltman, L.","14632830700;","Message from the new Editor-in-Chief",2015,"Journal of Informetrics","9","1",,"A3","A6",,,"10.1016/j.joi.2015.01.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922541812&doi=10.1016%2fj.joi.2015.01.008&partnerID=40&md5=193bad827137d57c3ce11ef44bb32ea3",Editorial,"Final",,Scopus,2-s2.0-84922541812
"Waltman, L., Van Eck, N.J.","14632830700;14632651000;","Field-normalized citation impact indicators and the choice of an appropriate counting method",2015,"Proceedings of ISSI 2015 Istanbul: 15th International Society of Scientometrics and Informetrics Conference",,,,"328","339",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991045235&partnerID=40&md5=53afbfc514f02ccda7d60ae99c38ec23",Conference Paper,"Final",,Scopus,2-s2.0-84991045235
"Ruiz-Castillo, J., Waltman, L.","6602363377;14632830700;","Field-normalized citation impact indicators using algorithmically constructed classification systems of science",2015,"Journal of Informetrics","9","1",,"102","117",,50,"10.1016/j.joi.2014.11.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919363441&doi=10.1016%2fj.joi.2014.11.010&partnerID=40&md5=c5f5e435e04095c32ee1f59718cbb375",Article,"Final",,Scopus,2-s2.0-84919363441
"Waltman, L., Van Raan, A.F.J., Smart, S.","14632830700;7004058552;56412521100;","Exploring the relationship between the engineering and physical sciences and the health and life sciences by advanced bibliometric methods",2014,"PLoS ONE","9","10", e111530,"","",,6,"10.1371/journal.pone.0111530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909998988&doi=10.1371%2fjournal.pone.0111530&partnerID=40&md5=210c33e328986d39bde14cb961cfdedb",Article,"Final",Open Access,Scopus,2-s2.0-84909998988
"Ahlgren, P., Waltman, L.","56247589400;14632830700;","The correlation between citation-based and expert-based assessments of publication channels: SNIP and SJR vs. Norwegian quality assessments",2014,"Journal of Informetrics","8","4",,"985","996",,15,"10.1016/j.joi.2014.09.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908673223&doi=10.1016%2fj.joi.2014.09.010&partnerID=40&md5=a132361e42125b64c3c524e809eb276b",Article,"Final",,Scopus,2-s2.0-84908673223
"Van Eck, N.J., Waltman, L.","14632651000;14632830700;","Systematic retrieval of scientific literature based on citation relations: Introducing the CitNetExplorer tool",2014,"CEUR Workshop Proceedings","1143",,,"13","20",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908232355&partnerID=40&md5=74a019e29b459dd71b2a91be0c380ef4",Conference Paper,"Final",,Scopus,2-s2.0-84908232355
"van Eck, N.J., Waltman, L.","14632651000;14632830700;","CitNetExplorer: A new software tool for analyzing and visualizing citation networks",2014,"Journal of Informetrics","8","4",,"802","823",,89,"10.1016/j.joi.2014.07.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906491664&doi=10.1016%2fj.joi.2014.07.006&partnerID=40&md5=071e1f70523b8cd68f28c6e0269637ff",Article,"Final",,Scopus,2-s2.0-84906491664
"Waltman, L., Costas, R.","14632830700;9844625800;","F1000 recommendations as a potential new data source for research evaluation: A comparison with citations ludo",2014,"Journal of the Association for Information Science and Technology","65","3",,"433","445",,55,"10.1002/asi.23040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900543794&doi=10.1002%2fasi.23040&partnerID=40&md5=3df9706f1a429b7f82060255586287f0",Article,"Final",,Scopus,2-s2.0-84900543794
"Rodrigues, S.P., Van Eck, N.J., Waltman, L., Jansen, F.W.","16679668700;14632651000;14632830700;7102799533;","Mapping patient safety: A large-scale literature review using bibliometric visualisation techniques",2014,"BMJ Open","4","3", e004468,"","",,16,"10.1136/bmjopen-2013-004468","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897503277&doi=10.1136%2fbmjopen-2013-004468&partnerID=40&md5=fb8dcd2e895eb8de6da00e3c2baa7acc",Review,"Final",Open Access,Scopus,2-s2.0-84897503277
"Waltman, L., Van Eck, N.J.","14632830700;14632651000;","A smart local moving algorithm for large-scale modularity-based community detection",2013,"European Physical Journal B","86","11", 471,"","",,148,"10.1140/epjb/e2013-40829-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888352905&doi=10.1140%2fepjb%2fe2013-40829-0&partnerID=40&md5=79f9fc16618e6436e47e5851c6e94ee9",Article,"Final",,Scopus,2-s2.0-84888352905
"Waltman, L., van Eck, N.J.","14632830700;14632651000;","A systematic empirical comparison of different approaches for normalizing citation impact indicators",2013,"Proceedings of ISSI 2013 - 14th International Society of Scientometrics and Informetrics Conference","2",,,"1649","1664",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896895231&partnerID=40&md5=55ef507a9efed3c8737dfe5b7561414f",Conference Paper,"Final",,Scopus,2-s2.0-84896895231
"Waltman, L., van Eck, N.J., Wouters, P.","14632830700;14632651000;7007025330;","Counting publications and citations: Is more always better?",2013,"Proceedings of ISSI 2013 - 14th International Society of Scientometrics and Informetrics Conference","1",,,"455","467",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896896124&partnerID=40&md5=f63a22ea935e8f45e8ec22c621c49ea3",Conference Paper,"Final",,Scopus,2-s2.0-84896896124
"Waltman, L., van Eck, N.J., Dekker, R., Kaymak, U.","14632830700;14632651000;7103035194;7004385524;","An Evolutionary Model of Price Competition Among Spatially Distributed Firms",2013,"Computational Economics","42","4",,"373","391",,,"10.1007/s10614-012-9358-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887493135&doi=10.1007%2fs10614-012-9358-3&partnerID=40&md5=5aeabab93cb461ac1120e4d369219e7e",Article,"Final",,Scopus,2-s2.0-84887493135
"van Eck, N.J., Waltman, L., van Raan, A.F.J., Klautz, R.J.M., Peul, W.C.","14632651000;14632830700;7004058552;6601957932;6506329410;","Citation Analysis May Severely Underestimate the Impact of Clinical Research as Compared to Basic Research",2013,"PLoS ONE","8","4", e62395,"","",,86,"10.1371/journal.pone.0062395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876532091&doi=10.1371%2fjournal.pone.0062395&partnerID=40&md5=c9472ea11059d5eecc96ea5af6eaa44d",Article,"Final",Open Access,Scopus,2-s2.0-84876532091
"Waltman, L., Schreiber, M.","14632830700;22998421900;","On the calculation of percentile-based bibliometric indicators",2013,"Journal of the American Society for Information Science and Technology","64","2",,"372","379",,72,"10.1002/asi.22775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872900058&doi=10.1002%2fasi.22775&partnerID=40&md5=b2e7f02a94a5b9e9111266d644191eda",Article,"Final",,Scopus,2-s2.0-84872900058
"Waltman, L., van Eck, N.J.","14632830700;14632651000;","A systematic empirical comparison of different approaches for normalizing citation impact indicators",2013,"Journal of Informetrics","7","4",,"833","849",,55,"10.1016/j.joi.2013.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883509525&doi=10.1016%2fj.joi.2013.08.002&partnerID=40&md5=b3657d9f60d5223e1b4cf6aa89f29876",Article,"Final",,Scopus,2-s2.0-84883509525
"Waltman, L., van Eck, N.J.","14632830700;14632651000;","Source normalized indicators of citation impact: An overview of different approaches and an empirical comparison",2013,"Scientometrics","96","3",,"699","716",,61,"10.1007/s11192-012-0913-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881616898&doi=10.1007%2fs11192-012-0913-4&partnerID=40&md5=bd7e4c210a6decfdbf017258c4bdf957",Article,"Final",,Scopus,2-s2.0-84881616898
"Waltman, L., Van Eck, N.J., Wouters, P.","14632830700;14632651000;7007025330;","Counting publications and citations: Is more always better?",2013,"Journal of Informetrics","7","3",,"635","641",,29,"10.1016/j.joi.2013.04.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877153092&doi=10.1016%2fj.joi.2013.04.001&partnerID=40&md5=1aaaba415b66b67bad8cc40903b181df",Article,"Final",,Scopus,2-s2.0-84877153092
"Waltman, L., van Eck, N.J., van Leeuwen, T.N., Visser, M.S.","14632830700;14632651000;35611695700;7102107028;","Some modifications to the SNIP journal impact indicator",2013,"Journal of Informetrics","7","2",,"272","285",,76,"10.1016/j.joi.2012.11.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872186449&doi=10.1016%2fj.joi.2012.11.011&partnerID=40&md5=9c62dab2d30082b44ef2e18446fe8699",Article,"Final",,Scopus,2-s2.0-84872186449
"Waltman, L., Van Eck, N.J.","14632830700;14632651000;","A new methodology for constructing a publication-level classification system of science",2012,"Journal of the American Society for Information Science and Technology","63","12",,"2378","2392",,171,"10.1002/asi.22748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870498391&doi=10.1002%2fasi.22748&partnerID=40&md5=0dcc8ba8f73817486ba78590f1cd1504",Article,"Final",,Scopus,2-s2.0-84870498391
"Waltman, L., Calero-Medina, C., Kosten, J., Noyons, E.C.M., Tijssen, R.J.W., Van Eck, N.J., Van Leeuwen, T.N., Van Raan, A.F.J., Visser, M.S., Wouters, P.","14632830700;24173193400;55445545300;6602835925;7003661001;14632651000;35611695700;7004058552;7102107028;7007025330;","The Leiden ranking 2011/2012: Data collection, indicators, and interpretation",2012,"Journal of the American Society for Information Science and Technology","63","12",,"2419","2432",,188,"10.1002/asi.22708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870490986&doi=10.1002%2fasi.22708&partnerID=40&md5=7e8cf7d64a0b435c2124084b2d2b6ded",Article,"Final",,Scopus,2-s2.0-84870490986
"Waltman, L.","14632830700;","An empirical analysis of the use of alphabetical authorship in scientific publishing",2012,"Journal of Informetrics","6","4",,"700","711",,73,"10.1016/j.joi.2012.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864800341&doi=10.1016%2fj.joi.2012.07.008&partnerID=40&md5=b2952502feaf2ae55e8ee596f67e88b3",Article,"Final",,Scopus,2-s2.0-84864800341
"Waltman, L., Costas, R., van Eck, N.J.","14632830700;9844625800;14632651000;","Some Limitations of the H Index: A Commentary on Ruscio and Colleagues' Analysis of Bibliometric Indices",2012,"Measurement","10","3",,"172","175",,10,"10.1080/15366367.2012.716260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866843207&doi=10.1080%2f15366367.2012.716260&partnerID=40&md5=81d5f1caa3cfb65343f2d5c3b3ac6a00",Note,"Final",,Scopus,2-s2.0-84866843207
"Waltman, L., van Eck, N.J.","14632830700;14632651000;","A mathematical analysis of the long-run behavior of genetic algorithms for social modeling",2012,"Soft Computing","16","6",,"1071","1089",,2,"10.1007/s00500-012-0804-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860993232&doi=10.1007%2fs00500-012-0804-x&partnerID=40&md5=e3e40af948474d7fa6bc695bf68230ba",Article,"Final",Open Access,Scopus,2-s2.0-84860993232
"Waltman, L., Van Eck, N.J.","14632830700;14632651000;","The inconsistency of the h-index",2012,"Journal of the American Society for Information Science and Technology","63","2",,"406","415",,151,"10.1002/asi.21678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857371655&doi=10.1002%2fasi.21678&partnerID=40&md5=3aa54e50215ff17094080d39b5588102",Article,"Final",,Scopus,2-s2.0-84857371655
"Waltman, L., Van Eck, N.J., Van Raan, A.F.J.","14632830700;14632651000;7004058552;","Universality of citation distributions revisited",2012,"Journal of the American Society for Information Science and Technology","63","1",,"72","77",,45,"10.1002/asi.21671","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655201282&doi=10.1002%2fasi.21671&partnerID=40&md5=460467917ca29f43b5b6c097c585373c",Article,"Final",,Scopus,2-s2.0-83655201282
"Waltman, L., van Eck, N.J., Dekker, R., Kaymak, U.","14632830700;14632651000;7103035194;7004385524;","Economic modeling using evolutionary algorithms: The effect of a binary encoding of strategies",2011,"Journal of Evolutionary Economics","21","5",,"737","756",,12,"10.1007/s00191-010-0177-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-81255210261&doi=10.1007%2fs00191-010-0177-1&partnerID=40&md5=97e4731dea6dd827e996384501ce2280",Article,"Final",Open Access,Scopus,2-s2.0-81255210261
"Bornmann, L., Waltman, L.","8850037200;14632830700;","The detection of ""hot regions"" in the geography of science-A visualization approach by using density maps",2011,"Journal of Informetrics","5","4",,"547","553",,40,"10.1016/j.joi.2011.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054030638&doi=10.1016%2fj.joi.2011.04.006&partnerID=40&md5=9b21fa0b6c5c107f003d4e849c464bc4",Article,"Final",,Scopus,2-s2.0-80054030638
